date,open,high,low,close,volume,openinterest
20151228,19.5301,19.7917,18.8633,18.8633,904681.76,
20151229,18.838,19.8339,18.6523,19.4963,883114.75,
20151230,19.4879,19.6651,19.1756,19.2853,641137.67,
20151231,19.2853,19.3697,18.8464,18.8633,466846.46,
20160104,18.8717,18.9646,17.0487,17.0994,699002.95,
20160105,16.7955,17.9349,16.7111,17.5973,1027367.68,
20160106,17.6986,17.8083,17.3104,17.7408,567109.98,
20160107,17.4707,17.4707,16.4495,16.5254,231239.78,
20160108,17.0656,17.4792,16.1288,17.0909,1036330.72,
20160111,16.7955,17.2597,16.2891,16.3651,795588.8,
20160112,16.5845,16.7702,16.2216,16.5001,506377.71,
20160113,16.6267,16.7618,16.2047,16.2891,456655.06,
20160114,15.8671,16.6267,15.7152,16.5001,658841.5,
20160115,16.2385,16.5676,15.6983,15.8671,615356.0,
20160118,15.6224,16.0781,15.6139,15.9093,382164.14,
20160119,15.8671,16.7618,15.8334,16.593,620490.25,
20160120,16.5423,16.652,16.0444,16.2722,450475.11,
20160121,16.0528,16.3735,15.7912,15.7912,368874.74,
20160122,15.96,16.2891,15.7827,16.1119,336317.56,
20160125,16.2385,16.4242,16.0781,16.23,294238.13,
20160126,16.1034,16.171,15.5464,15.6983,448324.51,
20160127,15.8334,15.9684,15.1328,15.597,506478.39,
20160128,15.462,15.8334,15.3692,15.4536,327468.52,
20160129,15.5295,15.9515,15.4114,15.808,414142.98,
20160201,15.8334,15.8756,15.4451,15.5633,284243.13,
20160202,15.6055,16.1034,15.6055,16.0022,399428.51,
20160203,15.8924,16.0106,15.749,15.9009,283180.37,
20160204,16.0022,16.2807,15.9178,16.0359,398269.52,
20160205,16.0275,16.1119,15.9009,15.9093,226996.46,
20160215,15.5717,15.8924,15.5042,15.7321,256903.56,
20160216,15.9515,16.1963,15.8671,16.095,469528.05,
20160217,16.1119,16.2976,16.0528,16.2047,391569.57,
20160218,16.2976,16.3566,16.1203,16.2216,460056.51,
20160219,16.1963,16.2722,16.1203,16.2216,318912.75,
20160902,17.842,17.842,17.842,17.842,36608.9,
20160905,19.6271,19.6271,19.6271,19.6271,22323.09,
20160906,21.5861,21.5861,20.7714,21.0552,4971955.32,
20160907,20.9636,21.4671,20.6615,20.927,2087907.45,
20160908,20.9636,21.1101,20.332,20.5791,1523132.29,
20160909,20.515,20.7256,20.2862,20.3777,1131333.26,
20160912,20.1397,20.634,20.0024,20.2038,1166370.22,
20160913,20.2679,20.4418,20.0299,20.1214,886442.76,
20160914,20.0482,20.1031,19.5904,19.6179,1121997.29,
20160919,19.6088,20.3503,19.5996,20.2221,1213874.54,
20160920,20.2313,20.4693,20.0756,20.158,683515.71,
20160921,20.1946,20.2313,19.92,20.1397,554766.57,
20160922,20.2496,20.277,19.9109,19.9109,832998.54,
20160923,19.9475,20.0115,19.5813,19.6271,649530.59,
20160926,19.6088,20.039,19.5904,19.6911,599040.57,
20160927,19.7278,20.2313,19.7003,20.1672,981047.91,
20160928,20.1672,20.2221,19.9566,20.0482,591536.03,
20160929,20.0665,20.2038,19.9841,19.9932,533095.47,
20160930,20.0024,20.4052,19.9658,20.3411,633264.89,
20161010,20.3777,20.4327,19.8559,20.2404,742317.18,
20161011,20.2129,20.3411,20.0573,20.2404,444858.25,
20161012,20.2221,20.5608,20.1031,20.3228,489002.1,
20161013,20.3503,20.4235,20.1031,20.2038,363226.87,
20161014,20.1397,20.2129,20.0207,20.0848,361612.9,
20161017,20.1122,20.1763,19.8651,19.9017,372900.56,
20161018,19.8651,20.039,19.8468,20.0299,393069.51,
20161019,20.039,20.1855,19.9017,19.9383,415404.82,
20161020,19.9383,20.0299,19.8925,19.9749,333059.34,
20161021,19.9749,20.5791,19.9109,20.5425,938355.82,
20161024,20.5791,21.0277,20.5791,20.6432,785041.01,
20161025,20.6981,21.2382,20.6707,21.0826,739048.29,
20161026,21.0735,21.0735,20.5974,20.7164,613167.88,
20161027,20.7897,20.8354,20.4601,20.5242,322042.29,
20161028,20.57,20.9361,20.451,20.5059,569624.6,
20161117,20.1397,21.5586,20.1397,20.9087,2028741.71,
20161118,20.7805,20.8904,20.3136,20.6157,788226.56,
20161121,20.5791,21.696,20.5059,20.8721,2003663.44,
20161122,20.8629,21.7692,20.7439,21.2657,2269031.16,
20161123,21.7875,23.3895,21.7417,23.3895,3311219.83,
20161124,23.1881,24.7169,22.8128,24.1493,3219035.52,
20161125,24.1951,24.9915,23.124,24.9275,3143575.07,
20161128,24.9275,26.9048,24.8085,26.0626,4252529.19,
20161201,27.4632,28.6716,27.3534,28.0034,4745257.78,
20161202,27.4632,27.6006,26.2091,26.3281,3192136.65,
20161205,24.4057,24.7169,23.6916,23.6916,3619485.24,
20161206,23.5543,24.9824,23.2522,24.1036,3130854.31,
20161207,23.8106,24.2134,23.5268,23.9754,1688211.09,
20161208,23.9571,24.4972,23.7008,24.0212,1566255.22,
20161209,24.0212,24.8725,23.9479,24.7078,2284576.51,
20161212,23.9937,24.067,22.9227,23.1973,2369454.86,
20161213,23.3254,23.7099,22.6389,23.3804,1455175.51,
20161214,23.5268,23.6825,22.9776,23.1607,1296191.86,
20161215,23.1698,23.3895,22.4283,22.6572,1581572.39,
20161216,22.6114,23.0691,22.291,22.8769,1159837.07,
20161219,22.886,22.9135,22.0621,22.1171,1053776.11,
20161220,21.9981,22.291,21.6777,21.9706,852736.31,
20161221,22.0713,22.1903,21.8974,22.1537,670037.65,
20161222,22.2361,22.7853,22.1811,22.5748,1102716.42,
20161223,22.4009,22.4283,21.9981,22.053,710528.22,
20161226,21.879,22.5565,21.6777,22.5382,760513.92,
20161227,22.4832,23.1698,22.4283,22.8586,1027770.09,
20161228,22.9684,23.124,22.7029,22.8311,569611.22,
20161229,22.7579,22.9318,22.529,22.7304,454146.31,
20161230,22.7853,22.9318,22.5382,22.5382,469871.42,
20170103,22.6114,23.1057,22.6114,22.941,583929.46,
20170104,22.9684,23.0966,22.7762,23.0142,716624.63,
20170105,23.06,23.2339,22.9684,23.124,630843.16,
20170106,23.0691,23.0783,22.7487,22.886,541129.9,
20170109,22.886,22.886,22.4283,22.648,562307.2,
20170110,22.648,22.8586,22.4375,22.822,463826.88,
20170111,22.7579,22.9593,22.5015,22.5931,346364.62,
20170112,22.5382,22.6389,22.2178,22.2544,384129.42,
20170113,22.3093,22.3825,22.0988,22.1171,414360.82,
20170116,22.1171,22.1171,21.3389,21.7784,612204.02,
20170117,21.7784,22.1445,21.6868,22.1262,386341.1,
20170118,22.2086,23.0234,22.2086,22.8494,918678.91,
20170119,22.886,23.0234,22.6755,22.7762,379530.89,
20170120,22.7853,23.3895,22.7853,23.2247,684143.35,
20170123,23.3529,23.655,23.0783,23.1424,589593.26,
20170124,23.1332,23.2797,22.9776,23.179,399391.44,
20170125,23.1149,23.3438,23.005,23.3438,321067.71,
20170126,23.3438,23.7465,23.3438,23.6001,519727.7,
20170203,23.5268,23.5909,23.1607,23.2431,325403.74,
20170206,23.2339,23.3804,23.0234,23.124,423273.03,
20170207,23.0966,23.0966,22.8769,23.005,451103.33,
20170208,23.0417,23.298,22.9684,23.2064,412138.56,
20170209,23.2522,23.6184,23.2522,23.4536,585116.31,
20170210,23.5268,23.9663,23.4445,23.774,766443.27,
20170213,23.774,24.8359,23.7465,24.8085,1208038.96,
20170214,24.9915,25.3943,24.5064,24.6254,988288.03,
20170215,24.6254,25.0373,24.4881,24.7078,795565.16,
20170216,24.6345,25.257,24.5521,25.257,745332.6,
20170217,25.3577,25.5408,24.8817,25.0922,773631.82,
20170220,25.138,26.2366,25.1289,26.1359,1326712.04,
20170221,26.0718,26.2091,25.6873,25.8521,894104.66,
20170222,25.7239,26.0901,25.5408,25.9253,651620.77,
20170223,25.9161,26.1725,25.4493,25.55,708644.93,
20170224,25.6049,25.7605,24.9275,25.495,690855.97,
20170227,25.4493,25.4493,24.8085,24.8359,715625.8,
20170228,24.7993,25.2387,24.7993,25.1197,434798.51,
20170301,25.1746,25.4035,25.0007,25.138,411257.94,
20170302,25.1746,25.2936,24.9275,25.0007,365122.42,
20170303,24.9732,25.1014,24.7627,24.9915,395696.73,
20170306,25.0007,25.8612,25.0007,25.7697,874327.63,
20170307,25.8154,25.9619,25.6781,25.8429,514196.58,
20170308,25.8795,26.0718,25.495,25.7147,495694.17,
20170309,25.8429,26.4379,25.8429,25.9985,732047.56,
20170310,26.0992,26.5844,25.907,26.5112,947505.93,
20170313,26.5478,26.9689,26.1816,26.4288,958116.2,
20170314,26.4379,26.5112,26.0718,26.2823,611493.47,
20170315,26.3098,27.0513,26.1816,26.8224,782324.82,
20170316,26.9048,27.2802,26.6027,26.7584,649655.9,
20170317,26.7492,26.9872,26.3647,26.3739,565883.85,
20170320,26.621,26.9597,26.4471,26.7858,661259.91,
20170321,26.914,27.7836,26.7584,27.7745,1135841.19,
20170322,27.5822,28.0949,27.4724,27.921,865700.64,
20170323,27.8111,28.6167,27.628,28.5618,865868.13,
20170324,28.7082,29.9166,28.6442,28.873,1282813.55,
20170327,28.8456,29.4864,28.0857,28.1132,1043188.18,
20170328,28.1498,28.5252,27.6921,28.1956,754173.42,
20170329,28.1864,28.7357,27.9027,28.5618,657345.65,
20170330,28.4519,28.7082,27.5548,28.1224,764243.53,
20170331,28.0491,29.0195,27.9576,29.0195,825606.79,
20170405,29.0653,29.2392,28.6167,28.7998,986518.82,
20170406,28.7357,29.2941,28.5435,29.2941,739795.07,
20170407,29.23,29.8434,29.0653,29.1202,805843.65,
20170410,29.1202,29.2392,28.754,28.8547,542802.81,
20170411,28.754,28.9188,27.2069,28.2231,1249299.53,
20170412,27.921,28.4611,27.6463,28.2047,585433.47,
