===============================================================================
Id,2006-day-001,len,datetime,open,high,low,close,volume,openinterest,LongShortStrategy,len,datetime,CrossOver,len,crossover,Broker,len,cash,value,BuySell,len,buy,sell,Trades - Net Profit/Loss,len,pnlplus,pnlminus
160,2006-day-001,160,2006-08-16 23:59:59.999989,3767.86,3798.63,3765.45,3790.94,0.0,0.0,LongShortStrategy,160,732539.9999999999,CrossOver,160,0.0,Broker,160,99186.09999999999,101186.09999999999,BuySell,160,,,Trades - Net Profit/Loss,160,,
161,2006-day-001,161,2006-08-17 23:59:59.999989,3792.0,3801.01,3779.32,3800.1,0.0,0.0,LongShortStrategy,161,732540.9999999999,CrossOver,161,0.0,Broker,161,99277.69999999998,101277.69999999998,BuySell,161,,,Trades - Net Profit/Loss,161,,
162,2006-day-001,162,2006-08-18 23:59:59.999989,3798.33,3807.48,3781.99,3791.4,0.0,0.0,LongShortStrategy,162,732541.9999999999,CrossOver,162,0.0,Broker,162,99190.69999999998,101190.69999999998,BuySell,162,,,Trades - Net Profit/Loss,162,,
163,2006-day-001,163,2006-08-21 23:59:59.999989,3789.99,3790.58,3765.38,3777.25,0.0,0.0,LongShortStrategy,163,732544.9999999999,CrossOver,163,0.0,Broker,163,99049.19999999998,101049.19999999998,BuySell,163,,,Trades - Net Profit/Loss,163,,
164,2006-day-001,164,2006-08-22 23:59:59.999989,3788.55,3797.51,3754.38,3792.55,0.0,0.0,LongShortStrategy,164,732545.9999999999,CrossOver,164,0.0,Broker,164,99202.19999999998,101202.19999999998,BuySell,164,,,Trades - Net Profit/Loss,164,,
165,2006-day-001,165,2006-08-23 23:59:59.999989,3793.49,3793.49,3753.04,3758.98,0.0,0.0,LongShortStrategy,165,732546.9999999999,CrossOver,165,0.0,Broker,165,98866.49999999999,100866.49999999999,BuySell,165,,,Trades - Net Profit/Loss,165,,
166,2006-day-001,166,2006-08-24 23:59:59.999989,3761.86,3796.84,3743.26,3781.87,0.0,0.0,LongShortStrategy,166,732547.9999999999,CrossOver,166,0.0,Broker,166,99095.39999999998,101095.39999999998,BuySell,166,,,Trades - Net Profit/Loss,166,,
167,2006-day-001,167,2006-08-25 23:59:59.999989,3784.01,3797.91,3766.21,3781.17,0.0,0.0,LongShortStrategy,167,732548.9999999999,CrossOver,167,0.0,Broker,167,99088.39999999998,101088.39999999998,BuySell,167,,,Trades - Net Profit/Loss,167,,
168,2006-day-001,168,2006-08-28 23:59:59.999989,3778.79,3811.84,3758.87,3808.57,0.0,0.0,LongShortStrategy,168,732551.9999999999,CrossOver,168,0.0,Broker,168,99362.39999999998,101362.39999999998,BuySell,168,,,Trades - Net Profit/Loss,168,,
169,2006-day-001,169,2006-08-29 23:59:59.999989,3810.18,3829.39,3800.05,3806.81,0.0,0.0,LongShortStrategy,169,732552.9999999999,CrossOver,169,0.0,Broker,169,99344.79999999997,101344.79999999997,BuySell,169,,,Trades - Net Profit/Loss,169,,
170,2006-day-001,170,2006-08-30 23:59:59.999989,3815.88,3829.4,3809.02,3817.86,0.0,0.0,LongShortStrategy,170,732553.9999999999,CrossOver,170,0.0,Broker,170,99455.29999999997,101455.29999999997,BuySell,170,,,Trades - Net Profit/Loss,170,,
171,2006-day-001,171,2006-08-31 23:59:59.999989,3823.7,3828.06,3802.39,3808.7,0.0,0.0,LongShortStrategy,171,732554.9999999999,CrossOver,171,0.0,Broker,171,99363.69999999997,101363.69999999997,BuySell,171,,,Trades - Net Profit/Loss,171,,
172,2006-day-001,172,2006-09-01 23:59:59.999989,3808.99,3836.22,3808.99,3820.89,0.0,0.0,LongShortStrategy,172,732555.9999999999,CrossOver,172,0.0,Broker,172,99485.59999999996,101485.59999999996,BuySell,172,,,Trades - Net Profit/Loss,172,,
